Gene,PFASdil17,PFASdil31,PFASdil50,PFASdil56,PFASdil4,PFASdil63,PFASdil84,PFASdil86,PFASdil7,PFASdil9,PFASdil24,PFASdil93,PFASdil1,PFASdil57,PFASdil72,PFASdil87,PFASdil13,PFASdil34,PFASdil45,PFASdil74,PFASdil40,PFASdil61,PFASdil90,PFASdil91,PFASdil10,PFASdil38,PFASdil39,PFASdil70,PFASdil16,PFASdil80,PFASdil95,PFASdil96
Glrx2,260.170297,270.45314,355.8672405,233.2706364,248.6912793,258.4617273,267.2204143,254.4782374,199.9114853,268.2063351,274.3501036,258.2030586,292.4730775,235.3581282,242.3363957,237.1051052,260.2344171,186.7879903,214.8940556,225.2304891,213.3853741,211.6781202,221.9372213,293.4288579,210.0291936,182.131668,183.7881632,184.1462156,224.136794,188.5490725,239.5788458,229.9173399
Gls,55.39747769,94.19230048,93.1765961,100.5308601,75.68865023,71.44470509,71.12330419,70.30332629,74.14557434,111.9134348,97.28727079,68.16560747,59.2986652,89.98987256,67.02921584,98.44095887,68.33493685,49.41481225,130.4378765,107.4015758,72.83827674,105.3768808,81.60920244,79.04172188,81.67801975,84.7350541,99.71485452,72.80199221,78.88076013,54.63637895,83.33177245,55.67505092
Gls2,5150.976184,5071.462673,4606.067154,4213.511872,5070.23851,5170.285202,6448.851596,6152.036144,4026.386252,4248.851438,4769.994887,5713.517281,4165.982496,4528.171719,7803.231943,5972.084838,5130.736834,7048.52882,4443.33342,5122.950893,5298.72816,3689.115186,4743.286084,6045.067579,4350.476502,5021.769413,4518.451545,4034.086863,5201.320366,6962.388761,5231.152016,4712.789958
Glt8d1,105.848752,102.5856738,143.6940277,85.89044354,114.4340307,131.3321785,83.31587063,117.8323356,89.16239953,113.8429768,79.77556205,87.78903993,144.7289456,95.92327075,102.0906518,109.0260082,91.73731249,97.84132826,85.39458104,104.2733746,97.45966606,141.4268663,111.4662277,115.8556745,92.44874763,76.94332499,89.93888839,96.35557793,115.4352587,83.56152075,116.6644814,138.1566078
Glt8d2,2.967722019,5.595582206,0,0,6.307387519,8.405259423,0,5.941126165,8.446964166,3.859083958,0,3.098436703,5.025310611,2.966699095,6.187312232,4.234019736,3.744380102,4.941481225,0.938401989,1.042733746,2.051782443,5.546151621,1.990468352,3.24828994,4.487803283,5.843796835,2.932789839,2.141235065,4.809802447,0,0,4.124077846
Gltp,117.7196401,133.3613759,125.7322743,128.8356653,183.8152934,189.118337,148.3428916,211.9001666,128.5815656,133.1383966,128.4191974,126.0030926,105.5315228,178.9908454,150.557931,167.2437796,165.6888195,198.6475453,206.4484377,155.3673281,128.2364027,213.5268374,187.1040251,207.8905562,174.1267674,117.8499028,145.6618953,111.3442234,201.0497423,115.7005672,147.9138961,154.6529192
Glud1,18179.27585,20266.26615,22009.88365,17489.44157,15823.43317,15351.15568,15075.09235,14884.50142,15960.06952,17227.91556,17839.56685,18756.90299,21208.8209,17307.72252,11578.52362,13794.4363,16318.94458,14508.18888,15825.21115,16137.34745,12714.8958,14039.15847,14867.80336,14891.24385,13329.67331,12638.18462,12375.39552,13295.99914,9238.66854,11475.78218,9257.118272,10472.06467
Glul,22932.57728,29664.97907,21008.5159,25986.73931,29056.33219,27628.08772,26246.53134,28435.22001,25049.94151,25639.75382,23972.5564,22431.64892,30615.1973,28243.96429,22733.21636,22952.62099,29453.29388,22588.49898,29161.78022,25387.43851,28226.37107,24196.0108,26438.39589,25896.45017,25005.14233,15767.53783,15961.2199,16439.33221,22948.52943,20615.05569,18184.0344,21130.74386
Glyat,3750.211391,3141.919409,4292.859078,2736.78186,3424.911423,4354.975038,3300.121315,3631.018275,2574.446967,2713.900793,3424.511932,3186.225743,3711.694417,3465.104543,3210.183829,4150.397846,2837.304022,3200.103241,2757.963447,3134.45764,4569.319501,2921.897546,3647.533256,4189.21126,2865.013616,3163.44202,3280.814233,3520.190447,4867.520076,4635.521799,5614.478169,5293.253915
Glyctk,5225.169235,5621.694923,5105.628423,4736.662756,5983.00759,6112.724915,5581.147285,5144.025071,4918.948799,5342.90174,5940.360755,6208.234341,6095.701771,5081.95555,6250.216573,5054.36106,5623.122818,5537.423861,4975.407348,5132.335497,6037.369839,5369.599128,5310.569564,5986.59836,4817.208044,5455.184345,4726.679623,5712.815154,5728.474714,4884.063758,5768.641948,6265.505267
