Gene,GRC362.01_S14,GRC362.02_S9,GRC362.03_S13,GRC362.04_S12,GRC362.09_S20,GRC362.10_S6,GRC362.11_S3,GRC362.12_S17,GRC362.13_S16,GRC362.14_S19,GRC362.15_S11,GRC362.16_S18,GRC362.17_S5,GRC362.18_S15,GRC362.19_S8,GRC362.20_S2,GRC362.21_S10,GRC362.22_S7,GRC362.23_S1,GRC362.24_S4
Shmt1,4970.522759,5113.70855,4288.258122,5093.004912,5187.691008,4762.284368,4714.401192,4585.65627,4407.554643,4380.425275,4456.706084,4281.728101,4046.16014,3975.050033,3933.443695,3903.183898,3344.031801,3309.282005,3371.26134,3445.208188
Shmt2,2292.110941,1932.820594,1110.787192,2200.169839,2175.845309,2340.846644,1354.612389,1875.904791,2204.741776,2013.309176,1493.531838,1971.091229,2194.414287,2025.161677,1533.014563,2083.743876,1682.901421,1598.906665,1711.146859,2603.12954
Slc10a1,11396.7619,11592.84157,8328.691214,12984.62586,12892.36037,11678.29586,8947.443352,11340.51515,12678.71189,13005.66433,8565.688228,12297.4991,14935.18936,13271.82074,9696.802242,12506.42287,14471.21054,11942.3079,9372.252331,13001.5818
Slc10a2,194.03645,261.2471341,340.7594173,253.6666403,141.3906699,309.3956388,340.3548716,338.3435536,461.0089977,309.4723949,693.6782946,616.7453335,592.7495747,412.4565533,984.8163173,621.6585056,569.3127058,491.3539167,1178.952066,384.4679796
Slc10a6,0.886011187,2.040993235,0,0,0,0.926334248,1.94488498,0,0.96445397,0,0,0.959168481,1.909016344,2.062282767,0,4.949510395,0,3.56699758,0,0.937726779
Slc11a1,68.2228614,79.59873616,128.3379624,60.05169443,84.16111304,89.85442204,130.3072937,75.07623231,65.58286996,57.37409568,134.488649,98.79435358,62.04303117,58.77505885,91.20466387,53.45471227,53.33904892,57.96371068,71.8619192,57.20133355
Slc11a2,622.8658645,722.5116052,860.0118628,533.2176316,620.5479402,711.4247024,920.9030382,843.8568512,769.6342681,716.3068916,774.1945253,663.7445891,716.835637,780.5740272,1045.942847,840.4268651,677.0793556,598.3638441,755.0708901,509.1856413
Slc12a2,200.2385283,198.9968404,286.1789046,213.2870526,154.856448,224.172888,282.0083222,233.2368284,187.1040702,221.6726424,250.3966293,284.873039,177.53852,135.0795212,199.8740506,157.3944306,134.9804503,98.98418285,157.2630406,85.33313693
Slc12a3,1.772022374,1.020496617,1.475148993,1.035374042,3.366444522,0,0.97244249,2.002032862,0,0,0,0,1.909016344,0,1.940524763,0.989902079,0,0,4.165908359,0
Slc12a4,180.7462822,221.447766,202.095412,181.1904573,153.7342998,185.2668496,215.8822328,155.1575468,146.5970035,147.7817616,191.1154485,151.5486201,151.7667993,141.2663695,183.3795901,184.1217867,137.1575544,106.118178,234.3323452,202.5489844
Slc12a5,21.26426849,27.55340867,33.92842684,23.81360296,19.07651896,24.08469044,27.22838973,24.02439434,16.39571749,20.86330752,22.11984358,11.51002178,17.18114709,17.52940352,19.40524763,18.8081395,5.442760094,7.13399516,17.70511053,15.94135525
Slc12a6,191.3784164,224.5092558,295.0297986,273.3387471,245.7504501,219.5412167,339.3824291,254.2581734,249.7935782,237.3201231,222.0832295,226.3637616,186.1290935,196.9480042,253.2384816,218.7683595,166.5484589,166.7571369,215.5857576,162.2267329
Slc12a7,1006.508708,1242.96488,1712.647981,1482.655628,1281.493215,1215.350533,1945.857423,1158.176011,1276.937056,1273.531063,1300.646802,1204.715613,1011.778662,1023.923394,1446.661211,1108.690328,833.8308463,524.3486443,1252.896939,1012.744922
Slc13a2,18.60623493,12.24595941,13.27634094,27.95509913,42.64163061,28.71636168,23.33861976,36.03659151,57.8672382,41.72661504,65.47473699,52.75426647,95.45081718,74.2421796,98.96676292,130.6670744,78.37574535,53.5049637,113.5210028,106.9008529
Slc13a3,584.7673834,534.7402276,712.4969635,486.6257997,319.8122296,440.935102,515.3945198,342.3476194,466.7957215,318.1654397,615.8164452,440.2583329,313.0786804,280.4704563,252.2682192,169.2732555,145.8659705,80.25744555,152.0556551,126.5931152
Slc13a4,10.63213424,5.102483087,13.27634094,3.106122126,8.977185391,2.779002744,2.917327471,7.007115016,8.680085731,0,4.423968716,4.795842407,5.727049031,6.1868483,4.851311908,2.969706237,1.088552019,0,1.04147709,1.875453559
