Gene,P01_A02,P01_A03,P01_A04,P01_A05,P01_A06,P01_A07,P01_A08,P01_A09,P01_A10,P01_A11,P01_A12,P01_B02,P01_B03,P01_B04,P01_B05,P01_B06,P01_B07,P01_B08,P01_B09,P01_B10
Slc26a11,3.282470621,3.834733669,5.630774603,3.45238181,0,6.959275495,5.587709835,3.651596435,5.957149258,2.62059115,1.464893802,2.00204649,2.487801916,4.026142128,0,11.83440614,6.955046111,5.87465224,1.941862491,1.626724609
Slc26a2,1.094156874,2.556489113,0,4.603175746,0.964847178,2.609728311,4.656424863,0,0,4.367651916,1.464893802,1.001023245,2.487801916,5.03267766,2.887054879,5.071888345,3.974312063,3.916434827,7.767449965,3.253449218
Slc26a4,0,5.112978225,0,0,0,0,0.931284973,0,0,0,0,0,1.243900958,3.019606596,0,1.690629448,0,0,0.970931246,0
Slc26a6,3.282470621,1.278244556,14.07693651,17.26190905,9.64847178,6.959275495,8.381564753,8.216091979,7.659191904,14.85001651,10.98670352,10.01023245,6.219504789,1.006535532,8.661164638,2.535944172,6.955046111,9.791087067,3.883724982,0
Slc26a7,0,1.278244556,0.938462434,0,0,0,0,0,0,0,0.732446901,0,1.243900958,1.006535532,0,0,0,0,0.970931246,0
Slc26a9,0,0,0,0,0,0,0,0,0,0,0.732446901,0,0,0,0,0.845314724,0,0,0.970931246,0
Slc27a1,1.094156874,3.834733669,14.07693651,9.206351492,4.82423589,6.959275495,8.381564753,13.69348663,8.510213226,10.4823646,5.859575209,8.008185959,11.19510862,5.03267766,4.330582319,5.917203069,2.980734047,2.93732612,4.854656228,4.880173827
Slc27a2,1829.430293,1949.322948,1412.385963,1718.135347,2001.093047,1904.231757,2517.263281,1617.657221,1519.073061,1443.072193,1709.531067,1821.862306,1679.266293,1766.469859,1597.984876,251.0584731,1986.162454,2210.82746,2123.426634,3155.032379
Slc27a4,98.47411862,103.5378091,144.5232148,177.2222662,150.5161598,128.7465967,88.47207239,148.8025547,125.9511557,125.7883752,144.2920395,155.1586029,136.8291054,135.8822968,93.82928358,153.0019651,87.43486539,164.4902627,167.9711055,276.5431835
Slc27a5,6279.366297,7124.935157,5353.928185,6781.628668,7168.814532,6171.137545,6249.853451,5469.178561,5918.002277,5416.761906,6438.208261,7172.331549,6382.455814,7250.075437,6393.38303,8441.312835,6312.201134,5720.932173,5895.494523,7796.89105
